id,availability in one year,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,bathroom_count,bathroom_type,Total crime
202251,196,Seattle Phinney Ridge Ballard,Phinney Ridge,47.67757,-122.36172,Entire home,Entire home/apt,6,1 bath,3.0,3.0,175.0,31,4.43,4.55,4.48,4.97,4.97,4.69,4.24,1.0,standard,9289.0
210316,141,"""The 5-Star House""  #9 The red room",Crown Hill,47.70085,-122.367,Private room in home,Private room,2,4 shared baths,1.0,1.0,86.0,75,4.76,4.69,4.85,4.95,4.87,4.56,4.74,4.0,shared,4943.0
215882,252,Relaxing Garden Cottage w/ Parking!,Columbia City,47.56173,-122.28351,Entire bungalow,Entire home/apt,2,1 bath,1.0,1.0,110.0,384,4.89,4.92,4.98,4.93,4.96,4.73,4.78,1.0,standard,19983.0
219532,38,"Fun home in Funky Fremont, Seattle",Fremont,47.65589,-122.36055,Entire home,Entire home/apt,4,1.5 baths,3.0,4.0,300.0,90,4.65,4.75,4.7,4.89,4.86,4.69,4.6,1.5,standard,20441.0
226536,103,Serene Room in Sunny Cottage near Discovery Park,Lawton Park,47.66133,-122.40088,Private room in cottage,Private room,2,1 shared bath,1.0,1.0,61.0,316,4.81,4.75,4.79,4.94,4.95,4.88,4.82,1.0,shared,6029.0
226677,218,Sunny Parisian room w/ best cooling memoryfoam bed,Mid-Beacon Hill,47.55062,-122.31827,Private room in rental unit,Private room,2,3 shared baths,1.0,1.0,55.0,245,4.81,4.79,4.84,4.84,4.88,4.78,4.82,3.0,shared,11964.0
229990,144,Alki Beach 1/2 block to beach,Alki,47.57884,-122.41071,Entire home,Entire home/apt,8,3 baths,2.0,4.0,220.0,12,5.0,5.0,4.91,5.0,5.0,5.0,5.0,3.0,standard,5324.0
240920,84,Home in Seattle · ★4.86 · 1 bedroom · 2 beds · 1 private bath,Wallingford,47.66848,-122.3376,Private room in home,Private room,1,1 private bath,1.0,2.0,80.0,16,4.86,4.85,4.62,5.0,5.0,4.86,4.93,1.0,private,19411.0
241016,106,Scandinavian Queen Anne Home,North Queen Anne,47.6411,-122.37446,Entire home,Entire home/apt,4,1 bath,3.0,3.0,175.0,127,4.78,4.85,4.77,4.94,4.9,4.71,4.73,1.0,standard,8697.0
241032,154,Stylish Queen Anne Apartment,West Queen Anne,47.63626,-122.37083,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,98.0,328,4.72,4.8,4.79,4.89,4.87,4.59,4.78,1.0,standard,7145.0
254340,101,Phinney Oasis-Ballard/Phinney,Phinney Ridge,47.67632,-122.36019,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,95.0,161,4.91,4.92,4.97,4.99,4.98,4.88,4.92,1.0,standard,9289.0
260613,86,Charming Hideaway in North Ballard,Whittier Heights,47.687,-122.36697,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,95.0,109,4.91,4.95,5.0,4.86,4.93,4.88,4.74,1.0,standard,5490.0
261912,120,Home in Seattle · ★4.81 · 2 bedrooms · 2 beds · 1 bath,Green Lake,47.68323,-122.34181,Entire home,Entire home/apt,4,1 bath,2.0,2.0,204.0,35,4.81,4.81,4.84,4.94,4.94,4.9,4.84,1.0,standard,13276.0
278830,103,Shining Starlight house in Seattle,West Queen Anne,47.6341,-122.37296,Entire home,Entire home/apt,6,2 baths,3.0,3.0,399.0,88,4.68,4.65,4.75,4.91,4.88,4.55,4.49,2.0,standard,7145.0
284087,124,The Nest in the Heart of the City,First Hill,47.6121,-122.33,Entire condo,Entire home/apt,6,1 bath,2.0,5.0,173.0,299,4.81,4.9,4.82,4.82,4.89,4.9,4.73,1.0,standard,28704.0
303277,226,Hip Condo Private Deck East Lake Union - Long Term,Eastlake,47.64424,-122.32397,Entire condo,Entire home/apt,2,1 bath,2.0,2.0,126.0,12,4.83,4.83,4.92,4.83,4.83,5.0,4.75,1.0,standard,6510.0
338091,356,"spacious, great location w view",Broadway,47.61965,-122.32374,Entire condo,Entire home/apt,2,1 bath,1.0,1.0,225.0,120,4.63,4.75,4.26,4.74,4.85,4.88,4.39,1.0,standard,55097.0
340738,0,Victorian home on Capitol Hill,Stevens,47.62376,-122.30494,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,195.0,0,,,,,,,,1.0,standard,12865.0
353110,243,West Seattle Vacation Cottage Near Alki Beach ⛱️,North Admiral,47.58037,-122.39163,Entire guesthouse,Entire home/apt,5,1 bath,1.0,1.0,79.0,87,4.77,4.82,4.82,4.93,4.85,4.93,4.77,1.0,standard,10308.0
356248,79,Incredible WaterView Condo near UW and Eastlake!,Portage Bay,47.65047,-122.32022,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,199.0,28,4.89,4.96,4.89,5.0,5.0,4.93,4.63,1.0,standard,1452.0
356608,191,St. John's Apt. 309 *Walkscore 99*,First Hill,47.61401,-122.32235,Entire rental unit,Entire home/apt,5,2 baths,2.0,2.0,190.0,189,4.83,4.89,4.86,4.94,4.91,4.83,4.76,2.0,standard,28704.0
365550,170,art loft downtown~ID~Stadiums,International District,47.60002,-122.32742,Private room in loft,Private room,2,1 private bath,1.0,1.0,116.0,806,4.75,4.82,4.88,4.92,4.94,4.62,4.7,1.0,private,23860.0
368403,272,Large Luxury Lakeside Seattle Home,Green Lake,47.68528,-122.33125,Entire home,Entire home/apt,16,3 baths,6.0,7.0,549.0,44,4.91,4.82,4.89,4.82,4.89,4.98,4.55,3.0,standard,13276.0
370361,115,Private Guest Studio- Phinney Ridge,Phinney Ridge,47.68271,-122.35768,Private room in home,Private room,2,1 private bath,1.0,1.0,70.0,296,4.94,4.92,4.91,4.97,4.98,4.95,4.89,1.0,private,9289.0
387078,204,Modern Capitol Hill. LOCATION Great Monthly Rates,Broadway,47.62361,-122.32577,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,123.0,183,4.78,4.79,4.85,4.79,4.84,4.93,4.64,1.0,standard,55097.0
392140,175,Fantastic View-Close to Light Rail-Solar Powered!,North Beacon Hill,47.58576,-122.31581,Private room in home,Private room,2,1 private bath,1.0,1.0,80.0,319,4.89,4.88,4.82,4.9,4.93,4.78,4.78,1.0,private,22027.0
392779,293,2/1 Plush Modern Hilltop Retreat,North Beacon Hill,47.57389,-122.31428,Entire guest suite,Entire home/apt,4,1 bath,2.0,2.0,107.0,191,4.79,4.84,4.83,4.82,4.8,4.7,4.66,1.0,standard,22027.0
408526,90,Home in Seattle · 3 bedrooms · 3 beds · 4 baths,West Woodland,47.67532,-122.3747,Entire home,Entire home/apt,7,4 baths,3.0,3.0,221.0,0,,,,,,,,4.0,standard,15038.0
421168,159,Greenwood Studio,Greenwood,47.70021,-122.35106,Private room in guesthouse,Private room,2,1 private bath,1.0,1.0,90.0,431,4.86,4.93,4.94,4.96,4.94,4.74,4.87,1.0,private,23785.0
430610,319,❤️󱀁 modern ✔roof deck ✔garage✔90Walkscore [Rare],Wallingford,47.65356,-122.33952,Entire home,Entire home/apt,7,3 baths,3.0,3.0,295.0,132,4.88,4.92,4.83,4.88,4.95,4.9,4.75,3.0,standard,19411.0
447523,50,Home in Seattle · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,Wedgwood,47.68387,-122.29024,Private room in home,Private room,2,1 shared bath,1.0,1.0,70.0,219,4.79,4.81,4.74,4.91,4.86,4.75,4.75,1.0,shared,5301.0
461234,206,Browns House Guest Apt. in Ballard,Whittier Heights,47.68444,-122.37338,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,85.0,349,4.85,4.88,4.91,4.94,4.95,4.86,4.87,1.0,standard,5490.0
475361,330,NE Seattle Artist Treehouse Suite!,Cedar Park,47.71652,-122.29126,Private room,Private room,1,1 bath,1.0,1.0,77.0,116,4.81,4.79,4.91,4.96,4.89,4.58,4.8,1.0,standard,9168.0
490076,206,Super cute w/gardens & charm. Great location!,Fremont,47.65617,-122.35262,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,87.0,415,4.7,4.79,4.69,4.74,4.85,4.86,4.74,1.0,standard,20441.0
491958,2,Columbia City Treehouse Vacation Rental,Columbia City,47.56007,-122.27873,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,79.0,420,4.83,4.86,4.94,4.96,4.9,4.74,4.88,1.0,standard,19983.0
493591,254,the 5-star  house-# 5-> Marilyn Monroe's room,Crown Hill,47.7019,-122.36781,Private room in home,Private room,2,1 shared bath,1.0,1.0,50.0,182,4.81,4.75,4.81,4.88,4.87,4.7,4.77,1.0,shared,4943.0
552325,46,Amazing WaterView Condo near UW + Eastlake - 2B/1B,Portage Bay,47.65043,-122.32021,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,229.0,33,4.7,4.73,4.39,4.94,4.97,4.94,4.67,1.0,standard,1452.0
564220,44,Cute Bungalow #2 - near Light Rail,Mount Baker,47.57783,-122.29251,Private room in bungalow,Private room,2,1 shared bath,1.0,1.0,53.0,226,4.78,4.86,4.61,4.94,4.94,4.85,4.84,1.0,shared,12429.0
564428,26,Cute Bungalow #1 - near Light Rail,Mount Baker,47.57796,-122.29373,Private room in bungalow,Private room,2,1 shared bath,1.0,1.0,54.0,285,4.69,4.8,4.52,4.87,4.9,4.67,4.73,1.0,shared,12429.0
565703,194,Garden Apartment in Madison Valley,Mann,47.620624,-122.29714,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,114.0,335,4.66,4.75,4.59,4.92,4.92,4.83,4.72,1.0,standard,6567.0
566435,0,"""The 5-Star House"" - # 6->The Hawaiian room",Crown Hill,47.70084,-122.36738,Private room in home,Private room,2,4 shared baths,1.0,1.0,85.0,90,4.85,4.77,4.89,4.87,4.89,4.7,4.78,4.0,shared,4943.0
573942,304,Queen Bee room w/cooling memory foam bed,Georgetown,47.54916,-122.31819,Private room in rental unit,Private room,2,3 shared baths,1.0,1.0,60.0,233,4.84,4.79,4.77,4.85,4.87,4.78,4.8,3.0,shared,10434.0
598023,265,West Seattle Home at Alaska Junction!,Genesee,47.56162,-122.38812,Private room in home,Private room,2,1 shared bath,1.0,1.0,109.0,22,4.73,4.76,4.59,4.9,4.95,4.9,4.62,1.0,shared,8808.0
604600,180,Seattle 1 br,Central Business District,47.61326,-122.33148,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,282.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,standard,66011.0
607788,178,Seattle studio,Central Business District,47.61317,-122.33346,Private room in rental unit,Private room,2,1 private bath,0.0,1.0,232.0,2,5.0,2.0,4.0,5.0,5.0,5.0,3.0,1.0,private,66011.0
609252,265,"Sans souci in Seattle: Clean, fresh air (4 guests)",Greenwood,47.69647,-122.36322,Entire guest suite,Entire home/apt,4,1 bath,2.0,4.0,275.0,3,5.0,5.0,4.67,5.0,5.0,4.67,4.33,1.0,standard,23785.0
609610,92,A place to stay: studio apartment,Columbia City,47.56994,-122.29403,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,95.0,32,4.83,4.91,4.94,4.91,5.0,4.44,4.91,1.0,standard,19983.0
609701,27,Charming Fremont Garden Cottage,Fremont,47.65607,-122.35899,Entire guesthouse,Entire home/apt,2,1 bath,1.0,1.0,110.0,572,4.92,4.95,4.87,4.99,4.98,4.93,4.94,1.0,standard,20441.0
620518,318,Spacious quiet/deck Ravenna UW 04-5,Ravenna,47.67489,-122.29078,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,100.0,12,3.83,3.92,4.17,3.5,3.75,4.42,3.75,1.0,standard,12280.0
631445,206,Work from this Belltown View Condo,Belltown,47.61373,-122.34887,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,95.0,173,4.8,4.83,4.85,4.85,4.79,4.88,4.8,1.0,standard,32555.0
635878,320,"Center UW Remodeled in 2021, Spacious 2 Beds (203)",University District,47.66313,-122.31428,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,90.0,40,4.2,4.58,4.45,4.63,4.56,4.53,4.23,1.0,standard,31260.0
637710,275,Roots at the Center of the Universe,Fremont,47.653,-122.35595,Entire home,Entire home/apt,8,1 bath,3.0,8.0,220.0,139,4.79,4.77,4.53,4.87,4.86,4.94,4.71,1.0,standard,20441.0
654734,267,Gorgeous Downtown/Convention Condo,First Hill,47.61311,-122.32947,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,168.0,85,4.58,4.63,4.59,4.85,4.85,4.82,4.53,1.0,standard,28704.0
661708,287,Elegant Madison Park Townhome,Harrison/Denny-Blaine,47.62563,-122.29181,Entire home,Entire home/apt,6,2.5 baths,2.0,1.0,165.0,10,5.0,5.0,4.9,5.0,5.0,5.0,4.8,2.5,standard,2262.0
670262,11,Townhouse in Seattle · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,Greenwood,47.69132,-122.36279,Entire townhouse,Entire home/apt,3,1.5 baths,1.0,1.0,160.0,4,5.0,5.0,5.0,5.0,5.0,5.0,4.67,1.5,standard,23785.0
677266,299,Moulin Rouge room French style double room,Georgetown,47.55041,-122.31857,Private room in rental unit,Private room,2,3 shared baths,1.0,1.0,70.0,121,4.64,4.56,4.66,4.73,4.74,4.65,4.61,3.0,shared,10434.0
677365,163,Spacious West Seattle Mid Century Modern In-law,South Delridge,47.52957,-122.36013,Entire guest suite,Entire home/apt,6,1 bath,2.0,3.0,119.0,244,4.9,4.96,4.95,4.97,4.95,4.86,4.88,1.0,standard,11518.0
681866,0,Bright room in Seattle Judkins Park,Atlantic,47.59245,-122.30322,Private room in home,Private room,2,1 bath,1.0,1.0,60.0,43,4.98,5.0,4.95,5.0,5.0,4.63,4.95,1.0,standard,16578.0
689309,358,Elegance and Coziness in Broadview,Broadview,47.72131,-122.35846,Private room in home,Private room,2,1 bath,1.0,1.0,146.0,17,4.94,5.0,5.0,5.0,5.0,4.88,4.88,1.0,standard,5732.0
703058,234,True Wallingford Craftsman,Wallingford,47.65144,-122.33734,Entire home,Entire home/apt,4,1 bath,2.0,2.0,265.0,207,4.96,4.95,4.98,4.99,5.0,4.99,4.9,1.0,standard,19411.0
704764,139,Elegant Vintage Craftsman Apartment With Garden,North Queen Anne,47.64057,-122.36956,Entire rental unit,Entire home/apt,5,1 bath,2.0,2.0,159.0,343,4.91,4.93,4.95,4.95,4.95,4.89,4.88,1.0,standard,8697.0
706385,132,Sky Cabin Apartment with Views,Eastlake,47.64307,-122.32556,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,120.0,546,4.98,4.98,4.98,4.97,4.98,4.94,4.9,1.0,standard,6510.0
708774,56,Clean and Comfortable Eastlake/Lake Union 1 BR,Eastlake,47.64,-122.32412,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,81.0,137,4.87,4.96,4.95,4.98,4.95,4.78,4.82,1.0,standard,6510.0
723723,174,BAMBOO BUNGALOW,Harrison/Denny-Blaine,47.61896,-122.28818,Entire home,Entire home/apt,1,1 bath,1.0,1.0,524.0,50,4.64,4.51,4.84,4.77,4.79,4.65,4.56,1.0,standard,2262.0
748526,79,Mother in law studio-Ballard/phinne,Phinney Ridge,47.67846,-122.36325,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,61.0,86,4.64,4.61,4.79,4.88,4.82,4.81,4.63,1.0,standard,9289.0
752483,0,Beautiful Capitol Hill Townhouse Near Light Rail!,Broadway,47.618918,-122.315682,Entire townhouse,Entire home/apt,4,2 baths,2.0,2.0,150.0,203,4.84,4.89,4.66,4.93,4.92,4.95,4.72,2.0,standard,55097.0
757840,166,Hilltop House: 4 Bdrm Great Location!,East Queen Anne,47.63349,-122.35611,Entire home,Entire home/apt,8,2.5 baths,4.0,7.0,314.0,462,4.93,4.97,4.95,4.95,4.91,4.94,4.85,2.5,standard,10264.0
789229,0,Designer Loft in Pioneer Square,Pioneer Square,47.59393,-122.33262,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,155.0,123,4.75,4.82,4.55,4.89,4.93,4.73,4.71,1.0,standard,28537.0
793629,219,Cheery Seattle House with View,North Beacon Hill,47.57734,-122.31492,Entire home,Entire home/apt,2,1 bath,1.0,1.0,115.0,315,4.84,4.9,4.83,4.94,4.9,4.82,4.85,1.0,standard,22027.0
797358,7,Cozy Private Room and Bath in Old Craftsman House,Mount Baker,47.57265,-122.29136,Private room in home,Private room,2,1 private bath,1.0,1.0,64.0,169,4.91,4.95,4.96,4.98,4.98,4.6,4.92,1.0,private,12429.0
841274,160,Goat Hill House Apartment,Mount Baker,47.58548,-122.29458,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,109.0,177,4.86,4.96,4.9,4.98,4.94,4.85,4.87,1.0,standard,12429.0
844939,203,"Five Star Downtown Designer Urban Suite, Space Needle View",Belltown,47.61503,-122.3475,Entire condo,Entire home/apt,4,1 bath,1.0,1.0,204.0,195,4.84,4.92,4.91,4.86,4.91,4.94,4.78,1.0,standard,32555.0
846763,119,Right at Home in Ravenna,Ravenna,47.67995,-122.30859,Private room in home,Private room,2,1 private bath,1.0,1.0,60.0,75,4.82,4.89,4.81,4.82,4.88,4.88,4.89,1.0,private,12280.0
850481,12,Townhouse in Seattle · ★4.67 · 2 bedrooms · 2 beds · 2.5 baths,Greenwood,47.68957,-122.36296,Entire townhouse,Entire home/apt,5,2.5 baths,2.0,2.0,165.0,3,4.67,5.0,4.0,5.0,4.33,5.0,4.67,2.5,standard,23785.0
877203,97,In Jimi Hendrix's neighborhood 2,Atlantic,47.60029,-122.30185,Private room in home,Private room,2,1.5 baths,1.0,1.0,53.0,103,4.71,4.64,4.71,4.79,4.76,4.6,4.74,1.5,standard,16578.0
879181,103,In Jimi Hendrix's neighborhood 3,Atlantic,47.60096,-122.3019,Private room in home,Private room,2,1.5 shared baths,1.0,2.0,53.0,99,4.81,4.85,4.78,4.92,4.88,4.67,4.81,1.5,shared,16578.0
902609,194,Entire guest suite in West Seattle,Highland Park,47.52383,-122.35287,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,70.0,238,4.8,4.87,4.85,4.96,4.95,4.53,4.79,1.0,standard,8512.0
904057,122,Seattle Mini Home with Hot Tub and Private Deck,West Woodland,47.66617,-122.36693,Entire guesthouse,Entire home/apt,2,1 bath,1.0,2.0,109.0,496,4.92,4.94,4.88,4.98,4.97,4.88,4.92,1.0,standard,15038.0
942490,209,Charming Greenwood neighborhood flat,Greenwood,47.68726,-122.36279,Private room in home,Private room,5,1 private bath,1.0,3.0,87.0,132,4.46,4.53,4.58,4.84,4.75,4.68,4.55,1.0,private,23785.0
948077,204,THE COTTAGE a Capitol Hill oasis - Free parking,Broadway,47.62845,-122.32513,Entire guesthouse,Entire home/apt,2,1 bath,1.0,1.0,152.0,481,4.97,4.97,4.98,4.96,4.89,4.96,4.89,1.0,standard,55097.0
993804,324,Spacious bedroom across Children's,Laurelhurst,47.66308,-122.2838,Private room in condo,Private room,1,1 shared bath,1.0,1.0,55.0,5,4.0,3.75,4.0,4.0,4.0,4.75,3.75,1.0,shared,2627.0
1000883,228,Westside Hideaway,North Admiral,47.58246,-122.39668,Entire guesthouse,Entire home/apt,2,1 bath,1.0,1.0,125.0,223,4.9,4.95,4.9,4.98,4.95,4.94,4.88,1.0,standard,10308.0
1012003,168,Capitol Hill Gem in Great Location,Broadway,47.63948,-122.32236,Private room in rental unit,Private room,4,1 bath,1.0,2.0,145.0,36,4.94,4.92,4.97,4.97,5.0,4.94,4.94,1.0,standard,55097.0
1022135,167,"Contemporary, Cozy, and Warm Home",Haller Lake,47.70662,-122.34358,Private room in townhouse,Private room,2,1.5 baths,1.0,1.0,82.0,9,4.57,4.86,4.43,4.71,4.86,3.86,4.71,1.5,standard,19659.0
1023693,203,"Get Cozy at a Hip, Vintage-Style Retreat",Whittier Heights,47.67936,-122.3704,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,96.0,345,4.93,4.96,4.97,4.99,4.99,4.84,4.88,1.0,standard,5490.0
1042022,208,Perfect Location by Lake Washington,Madison Park,47.63326,-122.28009,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,89.0,350,4.82,4.91,4.86,4.99,4.97,4.95,4.8,1.0,standard,3496.0
1043194,194,Bright CityView next to Convention Ctr,First Hill,47.61107,-122.32888,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,175.0,50,4.81,4.88,4.83,4.88,4.91,4.92,4.68,1.0,standard,28704.0
1048798,201,"West Seattle Home, Dazzling View, Quiet & Tranquil",Fauntleroy,47.52586,-122.38272,Entire home,Entire home/apt,4,2 baths,1.0,2.0,149.0,431,4.96,4.97,4.95,4.98,4.97,4.96,4.86,2.0,standard,3884.0
1090449,1,Comfy 1 Bdrm Capitol Hill Apartment,Broadway,47.61769,-122.32645,Entire guest suite,Entire home/apt,4,1 bath,1.0,1.0,103.0,457,4.75,4.75,4.57,4.97,4.95,4.9,4.75,1.0,standard,55097.0
1097520,82,Relaxed sophistication in Mt. Baker,Mount Baker,47.56692,-122.28106,Entire guest suite,Entire home/apt,2,1.5 baths,1.0,1.0,121.0,311,4.87,4.89,4.92,4.91,4.91,4.79,4.84,1.5,standard,12429.0
1100686,288,Tree top room in artsy Fremont - high ceilings,Fremont,47.65417,-122.35402,Private room in home,Private room,2,1 shared bath,1.0,1.0,78.0,357,4.8,4.88,4.77,4.83,4.89,4.86,4.83,1.0,shared,20441.0
1112092,10,Seattle Backyard Cottage-Queen Anne,West Queen Anne,47.63555,-122.365,Entire guesthouse,Entire home/apt,3,1 bath,1.0,3.0,135.0,55,4.87,4.94,4.85,4.83,4.91,4.93,4.74,1.0,standard,7145.0
1114695,279,"100s Walkscore Garage Deck, Zoo, Green Lake, Fire Place.",Wallingford,47.66215,-122.33879,Entire home,Entire home/apt,7,2.5 baths,3.0,1.0,295.0,79,4.79,4.85,4.88,4.92,4.95,4.88,4.71,2.5,standard,19411.0
1122236,290,MODERN LUXURY on Capitol Hill,Broadway,47.62383,-122.32381,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,123.0,142,4.74,4.74,4.83,4.82,4.82,4.88,4.54,1.0,standard,55097.0
1125133,209,Elegant & Quiet walk to UW (49),University District,47.65908,-122.31771,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,85.0,37,4.03,4.27,4.14,4.32,4.46,4.24,4.03,1.0,standard,31260.0
1136522,95,Rental unit in Seattle · ★4.35 · 1 bedroom · 1 bed · 1 bath,Ravenna,47.66988,-122.29925,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,120.0,18,4.35,4.22,4.72,4.56,4.61,4.5,4.41,1.0,standard,12280.0
1145148,90,Home in Seattle · ★4.92 · 4 bedrooms · 3 beds · 2 baths,North Delridge,47.55385,-122.36317,Entire home,Entire home/apt,7,2 baths,4.0,3.0,495.0,15,4.92,4.85,4.75,5.0,5.0,4.5,4.77,2.0,standard,6776.0
1146966,258,Artsy home in terrific Fremont neighborhood,Fremont,47.65474,-122.3526,Private room in home,Private room,2,1 shared bath,1.0,1.0,65.0,315,4.8,4.84,4.73,4.89,4.88,4.86,4.87,1.0,shared,20441.0
1150519,92,Classic Craftsman - 95 Walk Score!,University District,47.67113,-122.31419,Entire home,Entire home/apt,7,1.5 baths,3.0,4.0,300.0,19,4.95,5.0,4.89,5.0,4.95,4.94,4.83,1.5,standard,31260.0
1157083,265,Modern 2BR/2BA By ConventionCenter,First Hill,47.61248,-122.32861,Entire condo,Entire home/apt,4,2 baths,2.0,3.0,285.0,89,4.74,4.82,4.65,4.8,4.89,4.92,4.57,2.0,standard,28704.0
